Week,Cluster,porcentaje_ganancia_maxima,media_ganancia_peso,media_mililitros,mediana_mililitros,media_segundos_bebedero,mediana_segundos_bebedero,media_segundos_comedero,mediana_segundos_comedero,media_eventos_bebedero,mediana_eventos_bebedero,media_eventos_comedero,mediana_eventos_comedero,numero_datos
1,1,64,0.3858052793313294,48.141333333333336,15.78,38.8,39.0,84.4,48.0,9.933333333333334,8.0,9.2,7.0,15
1,2,51,0.3087860244414244,10.155714285714286,7.27,24.428571428571427,17.0,99.14285714285714,107.0,5.857142857142857,5.0,9.142857142857142,11.0,7
1,3,42,0.2517480539988732,10.103333333333332,0.0,39.5,44.0,94.83333333333331,64.0,8.833333333333334,10.0,9.333333333333334,5.5,6
1,4,33,0.1978205157162338,66.21272727272728,11.0,50.54545454545455,51.0,142.0909090909091,130.0,9.545454545454543,8.0,13.818181818181818,13.0,11
1,5,20,0.1185294161723431,31.02555555555556,2.64,26.0,18.0,40.11111111111112,36.0,6.222222222222222,4.0,5.0,4.0,9
1,6,9,0.0556921309736696,26.20894736842105,0.0,24.63157894736842,21.0,61.94736842105263,56.0,6.368421052631579,6.0,6.789473684210527,4.0,19
1,7,-6,-0.0369778619279653,53.0332,8.52,35.08,22.0,55.16,50.0,8.04,6.0,6.36,6.0,25
1,8,-19,-0.1119271219590412,40.16285714285714,15.04,16.285714285714285,19.0,79.85714285714286,72.0,5.0,5.0,5.857142857142857,6.0,7
2,1,80,0.4816988045272792,14.495,4.4350000000000005,27.3,15.5,104.2,60.5,5.6,5.0,9.5,6.5,10
2,2,63,0.3818705496656772,17.9925,1.33,16.8,9.5,103.8,62.0,3.65,2.5,8.0,4.5,20
2,3,55,0.3284244221560247,56.0978947368421,22.68,26.473684210526315,13.0,88.0,56.0,4.631578947368421,3.0,8.473684210526315,7.0,19
2,4,48,0.2915959800308651,63.28153846153847,66.48,28.923076923076923,28.0,76.76923076923077,45.0,7.0,5.0,7.076923076923077,6.0,13
2,5,44,0.2619379239022924,36.4405,0.0,25.8,17.0,111.3,71.0,5.95,4.0,10.1,7.5,20
2,6,38,0.2287050776113044,8.368181818181819,0.0,37.81818181818182,42.0,88.0,66.0,7.363636363636363,9.0,8.090909090909092,5.0,11
2,7,26,0.1584692121105514,78.19833333333334,58.485,41.0,40.0,123.33333333333331,108.5,7.5,7.5,11.0,10.0,6
2,8,20,0.1205591420981429,7.61625,1.385,13.875,9.0,37.875,23.5,2.875,2.0,4.125,3.0,8
2,9,12,0.074709975853125,77.10571428571428,64.54,25.0,25.0,65.57142857142857,38.0,5.571428571428571,5.0,5.714285714285714,4.0,7
3,1,73,0.5362346310756416,37.41842105263158,8.66,18.36842105263158,10.0,84.0,47.0,5.105263157894737,3.0,7.578947368421052,6.0,19
3,2,61,0.4476930880840079,75.82225806451613,27.42,32.0,22.0,77.41935483870968,74.0,7.967741935483871,7.0,8.0,7.0,31
