box,ID_Cerdo,chip,ID_obs2,ID_Obs3,ID_Obs4,ID_Obs4,ID_Obs5,ID_Obs6,ID_Obs7,BW0,BW1,BW2,BW3,BW4,BW5_F,BW5,BW6_F,BW6,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMDp_1,GMDp_2,GMDp_3,GMDp_4,GMDp_5,GMDp_6,
4,416,A0000000982091075480416,8,8,8,8,8,"8,00",,"5,46","5,62","6,87","7,60","8,21","11.258,00","11,26","14.554,00","14,55","162,000","178,000","105,000","88,000","435,000","471,000","24,000","33,000",13,11,53,76,
7,9777,A0000000982091075479777,5,5,5,5,5,"5,00",,"5,10","5,84","6,65","8,15","9,17","11.817,00","11,82","14.632,00","14,63","-236,000","116,000","214,000","147,000","378,000","402,000","-35,000","23,000",26,18,46,63,
1,9797,A0000000982091075479797,8,6,6,6,6,"6,00",,"8,75","7,37","6,32","6,34","7,77","11.179,00","11,18",14.87,"14,87","-45,000","-150,000","3,000","204,000","488,000","527,000","-7,000","-17,000",0,25,59,,07-10-2024
7,420,A0000000982091075480420,3,3,3,3,3,"3,00",,"5,41","5,27","6,78","8,38","9,82","13.036,00","13,04","15.482,00","15,48","-540,000","216,000","229,000","205,000","460,000","349,000","-80,000","40,000",28,25,56,65,
1,449,A0000000982091075480449,3,3,3,3,3,"3,00",,"7,51","6,70","6,80","8,41","10,06",12.16,"12,16","16.351,00","16,35","-543,000","15,000","230,000","236,000","300,000","599,000","-80,000","2,000",28,28,36,71,
2,9785,A0000000982091075479785,7,7,7,7,7,"1,00",,"5,24","5,46","6,86","8,42","10,14","13.513,00","13,51","16.659,00","16,66","20,000","200,000","223,000","246,000","482,000","449,000","3,000","38,000",27,30,58,,23-09-2024
2,438,A0000000982091075480438,5,5,5,5,5,"5,00",,"5,87","5,74","7,67","8,95","11,22","13.569,00","13,57","16.888,00","16,89","-381,000","276,000","183,000","325,000","335,000","474,000","-50,000","47,000",22,39,41,83,
4,9796,A0000000982091075479796,3,3,3,3,3,"3,00",,"5,56","5,36","6,78","7,81","9,56","13.687,00","13,69","17.335,00","17,34","-540,000","203,000","147,000","250,000","589,000","521,000","-80,000","37,000",18,30,71,66,
7,9799,A0000000982091075479799,6,6,6,6,6,"6,00",,"5,88","6,32","7,99","9,65","10,93","14.595,00","14,60","17.732,00","17,73","-284,000","238,000","237,000","183,000","523,000","448,000","-36,000","40,000",29,22,63,78,
2,430,A0000000982091075480430,6,6,6,6,6,"6,00",,"5,74","6,64","7,45","9,26","11,08","14.236,00","14,24","17.949,00","17,95","-207,000","115,000","258,000","261,000","451,000","530,000","-28,000","20,000",31,32,55,65,
